name;stage;from;to;day
Kings of the Rollers;temple;2019-08-02 22:30;2019-08-03 00:00;2
Maduk;temple;2019-08-03 00:00;2019-08-03 01:00;2
Matrix & Futurebound;temple;2019-08-03 01:00;2019-08-03 02:00;2
Problem Central;temple;2019-08-03 02:00;2019-08-03 03:00;2
Ed Rush;temple;2019-08-03 03:00;2019-08-03 04:00;2
Holotrope;shredder;2019-08-02 18:00;2019-08-02 19:00;2
Symplex;shredder;2019-08-02 19:00;2019-08-02 20:00;2
C. Phone & Elvis;shredder;2019-08-02 20:00;2019-08-02 21:00;2
Merikan;shredder;2019-08-02 21:00;2019-08-02 22:00;2
break;shredder;2019-08-02 22:00;2019-08-02 23:00;2
Redpill;shredder;2019-08-02 23:00;2019-08-03 00:00;2
3RDKND;shredder;2019-08-03 00:00;2019-08-03 01:00;2
The Outside Agency;shredder;2019-08-03 01:00;2019-08-03 02:00;2
Hallucinator;shredder;2019-08-03 02:00;2019-08-03 03:00;2
Counterstrike;shredder;2019-08-03 03:00;2019-08-03 04:00;2
Manio & Zu;freedom;2019-08-02 14:00;2019-08-02 16:00;2
James Wing;freedom;2019-08-02 16:00;2019-08-02 18:00;2
Dryman & Denoir;freedom;2019-08-02 18:00;2019-08-02 20:30;2
LUZ;freedom;2019-08-02 20:30;2019-08-02 22:00;2
break;freedom;2019-08-02 22:00;2019-08-02 22:30;2
Subgate;freedom;2019-08-02 22:30;2019-08-03 00:00;2
Thin & Thick;freedom;2019-08-03 00:00;2019-08-03 02:00;2
Dzejar;freedom;2019-08-03 02:00;2019-08-03 04:00;2
Fourstepper & Excentric;eve;2019-08-02 14:00;2019-08-02 15:00;2
Beast:season;eve;2019-08-02 15:00;2019-08-02 16:00;2
Vwoice;eve;2019-08-02 16:00;2019-08-02 17:00;2
Vex;eve;2019-08-02 17:00;2019-08-02 18:00;2
Infract;eve;2019-08-02 18:00;2019-08-02 19:00;2
Tom SMall;eve;2019-08-02 19:00;2019-08-02 20:00;2
Gerra & Stone;eve;2019-08-02 20:00;2019-08-02 21:00;2
Bredren;eve;2019-08-01 21:00;2019-08-02 22:00;2
break;eve;2019-08-02 22:00;2019-08-02 23:00;2
Breakage;eve;2019-08-02 23:00;2019-08-03 00:00;2
Dispatch 360: Ant TC1 & DLR;eve;2019-08-03 00:00;2019-08-03 01:00;2
Circuits;eve;2019-08-03 01:00;2019-08-03 02:00;2
Kiril;eve;2019-08-03 02:00;2019-08-03 03:00;2
HLZ;eve;2019-08-03 03:00;2019-08-03 04:00;2
Chris.Su;eve;2019-08-03 04:00;2019-08-03 05:00;2
Pixie;eve;2019-08-03 05:00;2019-08-03 06:00;2
Seemly Critics;portal;2019-08-02 17:00;2019-08-02 18:00;2
Fingerprint;portal;2019-08-02 18:00;2019-08-02 19:00;2
Far Horizon;portal;2019-08-02 19:00;2019-08-02 20:00;2
Unglued;portal;2019-08-02 20:00;2019-08-02 21:00;2
Krakota;portal;2019-08-02 21:00;2019-08-02 22:00;2
break;portal;2019-08-02 22:00;2019-08-02 22:30;2
Insideinfo;portal;2019-08-02 22:30;2019-08-02 23:30;2
The Upbeats;portal;2019-08-02 23:30;2019-08-03 00:30;2
Audio;portal;2019-08-03 00:30;2019-08-03 01:30;2
Current Value;portal;2019-08-03 01:30;2019-08-03 02:30;2
Phase & Misanthrop;portal;2019-08-03 02:30;2019-08-03 04:00;2
Neonlight;portal;2019-08-03 04:00;2019-08-03 05:00;2
Pythius;portal;2019-08-03 05:00;2019-08-03 06:00;2
Basstien;storm;2019-08-02 04:00;2019-08-02 05:00;2
L1;storm;2019-08-02 05:00;2019-08-02 06:00;2
Cherw;storm;2019-08-02 06:00;2019-08-02 07:00;2
Anatomix;storm;2019-08-02 07:00;2019-08-02 08:00;2
Dexide;storm;2019-08-02 08:00;2019-08-02 09:00;2
Houbass & R-Flyer;storm;2019-08-02 09:00;2019-08-02 10:00;2
Bicman & Vitto;storm;2019-08-02 10:00;2019-08-02 11:00;2
Spiritual;storm;2019-08-02 11:00;2019-08-02 12:00;2
Cybi;storm;2019-08-02 12:00;2019-08-02 13:00;2
Popelka & N-Sickle;storm;2019-08-02 13:00;2019-08-02 14:00;2
UTM-Family;storm;2019-08-02 14:00;2019-08-02 15:00;2
DNB Battle Showcase winner;storm;2019-08-02 15:00;2019-08-02 18:00;2
Technimatic;mothership;2019-08-03 19:00;2019-08-03 20:00;3
Benny L b2b Shimon;mothership;2019-08-03 20:00;2019-08-03 21:00;3
Rene Lavice;mothership;2019-08-03 21:00;2019-08-03 22:00;3
Camo & Krooked;mothership;2019-08-03 22:00;2019-08-03 22:30;3
High Contrast;mothership;2019-08-03 22:30;2019-08-03 23:30;3
Dimension;mothership;2019-08-03 23:30;2019-08-04 01:00;3
Chase & Status;mothership;2019-08-04 01:00;2019-08-04 02:00;3
A.M.C;mothership;2019-08-04 02:00;2019-08-04 03:00;3
Black Sun Empire;mothership;2019-08-04 03:00;2019-08-04 04:00;3
Upfockerz;temple;2019-08-03 18:00;2019-08-03 19:00;3
Matzet;temple;2019-08-03 19:00;2019-08-03 20:00;3
Kanine;temple;2019-08-03 20:00;2019-08-03 21:00;3
K Motionz;temple;2019-08-03 21:00;2019-08-03 22:00;3
Original Sin;temple;2019-08-03 22:00;2019-08-03 23:00;3
TOP 10 DNB SHOW;temple;2019-08-03 23:00;2019-08-03 23:30;3
Hedex;temple;2019-08-03 23:30;2019-08-04 00:30;3
Turno;temple;2019-08-04 00:30;2019-08-04 01:30;3
TC;temple;2019-08-04 01:30;2019-08-04 02:30;3
Bou b2b T>I;temple;2019-08-04 02:30;2019-08-04 04:00;3
Cockroach;shredder;2019-08-03 18:00;2019-08-03 19:00;3
X.Morph;shredder;2019-08-03 19:00;2019-08-03 20:00;3
Tobax;shredder;2019-08-03 20:00;2019-08-03 21:00;3
Mizo;shredder;2019-08-03 21:00;2019-08-03 22:00;3
Magnetude;shredder;2019-08-03 22:00;2019-08-03 23:00;3
IHR;shredder;2019-08-03 23:00;2019-08-04 00:00;3
Synergy;shredder;2019-08-04 00:00;2019-08-04 01:00;3
Gydra;shredder;2019-08-04 01:00;2019-08-04 02:00;3
Malux;shredder;2019-08-04 02:00;2019-08-04 03:00;3
A-Cray;shredder;2019-08-04 03:00;2019-08-04 04:00;3
Mini S;freedom;2019-08-03 14:00;2019-08-03 17:00;3
Freezer;freedom;2019-08-03 17:00;2019-08-03 19:00;3
Pixie;freedom;2019-08-03 19:00;2019-08-03 20:30;3
Mejsi;freedom;2019-08-03 20:30;2019-08-03 22:00;3
Callboy;freedom;2019-08-03 22:00;2019-08-03 23:30;3
Mayda;freedom;2019-08-03 23:30;2019-08-04 01:00;3
Ladida;freedom;2019-08-04 01:00;2019-08-04 02:30;3
Jaquellin;freedom;2019-08-04 02:30;2019-08-04 04:00;3
No Cure;eve;2019-08-03 14:00;2019-08-03 15:00;3
Parallel Activity;eve;2019-08-03 15:00;2019-08-03 16:00;3
Sinner;eve;2019-08-03 16:00;2019-08-03 17:00;3
Beesu;eve;2019-08-03 17:00;2019-08-03 18:00;3
Eska & KamCZa;eve;2019-08-03 18:00;2019-08-03 19:00;3
Entita;eve;2019-08-03 19:00;2019-08-03 20:00;3
Snookey;eve;2019-08-03 20:00;2019-08-03 21:00;3
Kyrist;eve;2019-08-03 21:00;2019-08-03 22:00;3
Riya;eve;2019-08-03 22:00;2019-08-03 23:00;3
Etherwood;eve;2019-08-03 23:00;2019-08-04 00:00;3
SpectraSoul;eve;2019-08-04 00:00;2019-08-04 01:00;3
DJ Marky;eve;2019-08-04 01:00;2019-08-04 02:00;3
Skeptical;eve;2019-08-04 02:00;2019-08-04 03:00;3
Nymfo;eve;2019-08-04 03:00;2019-08-04 04:00;3
Document One;eve;2019-08-04 04:00;2019-08-04 05:00;3
Levela;eve;2019-08-04 05:00;2019-08-04 06:00;3
Beaty;portal;2019-08-03 17:00;2019-08-03 18:00;3
Halbax;portal;2019-08-03 18:00;2019-08-03 19:00;3
Ripple;portal;2019-08-03 19:00;2019-08-03 20:00;3
Suki;portal;2019-08-03 20:00;2019-08-03 21:00;3
GLXY;portal;2019-08-03 21:00;2019-08-03 22:00;3
Urbandawn;portal;2019-08-03 22:00;2019-08-03 22:30;3
John B;portal;2019-08-03 23:00;2019-08-04 00:00;3
Hybrid Minds;portal;2019-08-04 00:00;2019-08-04 01:00;3
Viper w/ Cyantific x Dossa & Loccuzed x Bmotion;portal;2019-08-04 01:00;2019-08-04 02:30;3
Drumsound & Bassline Smith;portal;2019-08-04 02:30;2019-08-04 03:30;3
James Marvel;portal;2019-08-04 03:30;2019-08-04 04:30;3
Eatbrain League w/ Jade x Teddy Killerz x Fourward & MC Coppa;portal;2019-08-04 04:30;2019-08-04 06:00;3
Audiocuts;storm;2019-08-03 04:00;2019-08-03 05:00;3
Biofeld & Magicka;storm;2019-08-03 05:00;2019-08-03 06:00;3
Zudakabass;storm;2019-08-03 06:00;2019-08-03 07:00;3
Herax & Prase;storm;2019-08-03 07:00;2019-08-03 08:00;3
Mersi;storm;2019-08-03 08:00;2019-08-03 09:00;3
Masto crew (Jung, Lesi, MC Jilec);storm;2019-08-03 09:00;2019-08-03 10:00;3
Garnie:C;storm;2019-08-03 10:00;2019-08-03 11:00;3
Nuclear Factory;storm;2019-08-03 11:00;2019-08-03 13:00;3
DrumCity (Bulwa, Dopamin, Hrounex);storm;2019-08-03 13:00;2019-08-03 15:00;3
Tony Terra;storm;2019-08-03 15:00;2019-08-03 16:00;3
Brain;storm;2019-08-03 16:00;2019-08-03 17:00;3
Magenta;storm;2019-08-03 17:00;2019-08-03 18:00;3
